"query"	"Description"	"Preferred_name"	"GOs"	"EC"	"KEGG_ko"	"KEGG_Pathway"	"KEGG_Module"	"KEGG_Reaction"	"KEGG_rclass"	"BRITE"	"KEGG_TC"	"CAZy"	"BiGG_Reaction"	"PFAMs"
"CDS::101588_1:671751-672795(+)"	"An RNase that has 5'-3' exonuclease and possibly endonuclease activity. Involved in maturation of rRNA and in some organisms also mRNA maturation and or decay"	"rnjB"	"GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004540,GO:0006139,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016070,GO:0016071,GO:0016787,GO:0016788,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0140098,GO:1901360"	"-"	"ko:K12574"	"ko03018,map03018"	"-"	"-"	"-"	"ko00000,ko00001,ko01000,ko03019"	"-"	"-"	"-"	"Lactamase_B,RMMBL"
"CDS::101588_2:1880-4304(-)"	"Polysaccharide lyase family 8, N terminal alpha-helical domain"	"hylB"	"GO:0005575,GO:0005576"	"4.2.2.1"	"ko:K01727"	"-"	"-"	"-"	"-"	"ko00000,ko01000"	"-"	"PL8"	"-"	"Big_2,FIVAR,Gram_pos_anchor,Lyase_8,Lyase_8_C,Lyase_8_N,YSIRK_signal"
"CDS::101588_2:6290-6596(+)"	"COG2801 Transposase and inactivated derivatives"	"-"	"-"	"-"	"ko:K07497"	"-"	"-"	"-"	"-"	"ko00000"	"-"	"-"	"-"	"HTH_21,rve,rve_2"
"CDS::101588_2:16063-16834(+)"	"Belongs to the Nudix hydrolase family"	"ytkD"	"-"	"3.6.1.55"	"ko:K03574"	"-"	"-"	"-"	"-"	"ko00000,ko01000,ko03400"	"-"	"-"	"-"	"NUDIX"
"CDS::101588_2:20412-21321(+)"	"Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme"	"metK"	"-"	"2.5.1.6"	"ko:K00789"	"ko00270,ko01100,ko01110,ko01230,map00270,map01100,map01110,map01230"	"M00034,M00035,M00368,M00609"	"R00177,R04771"	"RC00021,RC01211"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"-"	"S-AdoMet_synt_C,S-AdoMet_synt_M,S-AdoMet_synt_N"
"CDS::101588_2:25422-26043(-)"	"CAAX protease self-immunity"	"-"	"-"	"-"	"ko:K07052"	"-"	"-"	"-"	"-"	"ko00000"	"-"	"-"	"-"	"Abi"
"CDS::101588_2:35520-36153(+)"	"Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate"	"ribD"	"GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0016070,GO:0034641,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:1901360"	"1.1.1.193,3.5.4.26"	"ko:K11752"	"ko00740,ko01100,ko01110,ko02024,map00740,map01100,map01110,map02024"	"M00125"	"R03458,R03459"	"RC00204,RC00933"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"-"	"RibD_C,dCMP_cyt_deam_1"
"CDS::101588_2:36163-37345(+)"	"riboflavin synthase alpha"	"ribE"	"GO:0003674,GO:0003824,GO:0004746,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006766,GO:0006767,GO:0006771,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009110,GO:0009231,GO:0009987,GO:0016740,GO:0016765,GO:0017144,GO:0018130,GO:0034641,GO:0042364,GO:0042726,GO:0042727,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"	"2.5.1.9"	"ko:K00793"	"ko00740,ko01100,ko01110,map00740,map01100,map01110"	"M00125"	"R00066"	"RC00958,RC00960"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"iSB619.SA_RS08950,iYO844.BSU23270"	"Lum_binding"
"CDS::101588_2:37943-38945(-)"	"Proline dehydrogenase"	"putA"	"-"	"-"	"ko:K00318"	"ko00330,ko01100,ko01110,ko01130,map00330,map01100,map01110,map01130"	"-"	"R10507"	"RC00083"	"ko00000,ko00001,ko01000"	"-"	"-"	"-"	"Pro_dh"
"CDS::101588_2:53929-55198(-)"	"HI0933-like protein"	"ytfP"	"-"	"-"	"ko:K07007"	"-"	"-"	"-"	"-"	"ko00000"	"-"	"-"	"-"	"HI0933_like"
"CDS::101588_2:58599-60009(+)"	"Belongs to the pseudouridine synthase RsuA family"	"rsuA"	"-"	"5.4.99.19"	"ko:K06183"	"-"	"-"	"-"	"-"	"ko00000,ko01000,ko03009"	"-"	"-"	"-"	"PseudoU_synth_2,S4"
"CDS::101588_2:61411-62203(+)"	"Acts on the D-isomers of alanine, leucine, aspartate, glutamate, aminobutyrate, norvaline and asparagine. The enzyme transfers an amino group from a substrate D-amino acid to the pyridoxal phosphate cofactor to form pyridoxamine and an alpha- keto acid in the first half-reaction"	"dat"	"GO:0003674,GO:0003824,GO:0005488,GO:0006082,GO:0006520,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008483,GO:0008652,GO:0009056,GO:0009058,GO:0009063,GO:0009987,GO:0016053,GO:0016054,GO:0016740,GO:0016769,GO:0019478,GO:0019752,GO:0019842,GO:0030170,GO:0036094,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044281,GO:0044282,GO:0044283,GO:0046394,GO:0046395,GO:0046416,GO:0046437,GO:0047810,GO:0048037,GO:0050662,GO:0070279,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901605,GO:1901606,GO:1901607"	"2.6.1.21"	"ko:K00824"	"ko00310,ko00330,ko00360,ko00472,ko00473,ko01100,map00310,map00330,map00360,map00472,map00473,map01100"	"-"	"R01148,R01582,R02459,R02851,R02924,R05053"	"RC00006,RC00008,RC00025"	"ko00000,ko00001,ko01000,ko01007"	"-"	"-"	"-"	"Aminotran_4"
"CDS::101588_2:66302-67160(+)"	"aminopeptidase"	"pepA"	"-"	"3.4.11.7"	"ko:K01261,ko:K01269"	"-"	"-"	"-"	"-"	"ko00000,ko01000,ko01002"	"-"	"-"	"-"	"Peptidase_M42"
"CDS::101588_2:67805-71630(+)"	"Belongs to the UPF0354 family"	"ytpQ"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"DUF1444"
"CDS::101588_2:71653-72967(+)"	"Belongs to the FtsK SpoIIIE SftA family"	"sftA"	"-"	"-"	"ko:K03466"	"-"	"-"	"-"	"-"	"ko00000,ko03036"	"3.A.12"	"-"	"-"	"FtsK_SpoIIIE,Ftsk_gamma"
"CDS::101588_2:73040-73532(+)"	"Belongs to the MurCDEF family"	"murC"	"-"	"6.3.2.8"	"ko:K01924"	"ko00471,ko00550,ko01100,map00471,map00550,map01100"	"-"	"R03193"	"RC00064,RC00141"	"ko00000,ko00001,ko01000,ko01011"	"-"	"-"	"-"	"Mur_ligase,Mur_ligase_C,Mur_ligase_M"
"CDS::101588_2:82511-84179(+)"	"COG0365 Acyl-coenzyme A synthetases AMP-(fatty) acid ligases"	"acsA"	"-"	"6.2.1.1"	"ko:K01895"	"ko00010,ko00620,ko00640,ko00680,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00620,map00640,map00680,map00720,map01100,map01110,map01120,map01130,map01200"	"M00357"	"R00235,R00236,R00316,R00926,R01354"	"RC00004,RC00012,RC00043,RC00070,RC02746,RC02816"	"ko00000,ko00001,ko00002,ko01000,ko01004"	"-"	"-"	"-"	"AMP-binding,AMP-binding_C"
"CDS::101588_2:93810-94941(+)"	"PTS system"	"nagE"	"-"	"2.7.1.193,2.7.1.199"	"ko:K02802,ko:K02803,ko:K02804,ko:K20116,ko:K20117,ko:K20118"	"ko00010,ko00520,ko02060,map00010,map00520,map02060"	"M00267,M00809"	"R02738,R05199"	"RC00017,RC03206"	"ko00000,ko00001,ko00002,ko01000,ko02000"	"4.A.1.1.13,4.A.1.1.14,4.A.1.1.15,4.A.1.1.2,4.A.1.1.5,4.A.1.1.7,4.A.1.1.9"	"-"	"iSB619.SA_RS08720"	"PTS_EIIA_1,PTS_EIIB,PTS_EIIC"
"CDS::101588_2:99442-100045(-)"	"redox protein, regulator of disulfide bond formation"	"ymaD3"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"OsmC"
"CDS::101588_2:109936-111055(+)"	"Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction"	"ackA"	"-"	"2.7.2.1"	"ko:K00925"	"ko00430,ko00620,ko00640,ko00680,ko00720,ko01100,ko01120,ko01200,map00430,map00620,map00640,map00680,map00720,map01100,map01120,map01200"	"M00357,M00579"	"R00315,R01353"	"RC00002,RC00043"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"-"	"Acetate_kinase"
"CDS::101588_2:131811-132513(+)"	"Belongs to the citrate synthase family"	"citZ"	"-"	"2.3.3.1"	"ko:K01647"	"ko00020,ko00630,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,map00020,map00630,map01100,map01110,map01120,map01130,map01200,map01210,map01230"	"M00009,M00010,M00012,M00740"	"R00351"	"RC00004,RC00067"	"br01601,ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"-"	"Citrate_synt"
"CDS::101588_2:142488-143889(+)"	"Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A"	"coaE"	"GO:0003674,GO:0003824,GO:0004140,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006732,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009117,GO:0009150,GO:0009152,GO:0009165,GO:0009259,GO:0009260,GO:0009987,GO:0015936,GO:0015937,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0033865,GO:0033866,GO:0033875,GO:0034030,GO:0034032,GO:0034033,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0046390,GO:0046483,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"	"2.7.1.24"	"ko:K00859"	"ko00770,ko01100,map00770,map01100"	"M00120"	"R00130"	"RC00002,RC00078"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"iSB619.SA_RS08510"	"CoaE"
"CDS::101588_2:143888-144809(+)"	"Belongs to the glyceraldehyde-3-phosphate dehydrogenase family"	"gapB"	"GO:0000166,GO:0003674,GO:0003824,GO:0004365,GO:0005488,GO:0005975,GO:0005996,GO:0006006,GO:0006094,GO:0008150,GO:0008152,GO:0009058,GO:0016051,GO:0016491,GO:0016620,GO:0016903,GO:0019318,GO:0019319,GO:0036094,GO:0043891,GO:0044238,GO:0044281,GO:0044283,GO:0046364,GO:0048037,GO:0050661,GO:0050662,GO:0051287,GO:0055114,GO:0071704,GO:0097159,GO:1901265,GO:1901363,GO:1901576"	"1.2.1.12"	"ko:K00134"	"ko00010,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04066,ko05010,map00010,map00710,map01100,map01110,map01120,map01130,map01200,map01230,map04066,map05010"	"M00001,M00002,M00003,M00165,M00166,M00308,M00552"	"R01061"	"RC00149"	"ko00000,ko00001,ko00002,ko01000,ko04131,ko04147"	"-"	"-"	"-"	"Gp_dh_C,Gp_dh_N"
"CDS::101588_2:147584-149078(+)"	"Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction L-threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr)"	"thrS"	"GO:0003674,GO:0003824,GO:0004812,GO:0004829,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006435,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576"	"6.1.1.3"	"ko:K01868"	"ko00970,map00970"	"M00359,M00360"	"R03663"	"RC00055,RC00523"	"ko00000,ko00001,ko00002,ko01000,ko01007,ko03016"	"-"	"-"	"-"	"HGTP_anticodon,TGS,tRNA-synt_2b,tRNA_SAD"
"CDS::101588_2:151234-152164(+)"	"amino acid"	"lysP"	"-"	"-"	"ko:K03293,ko:K11733"	"-"	"-"	"-"	"-"	"ko00000,ko02000"	"2.A.3.1,2.A.3.1.2"	"-"	"-"	"AA_permease"
"CDS::101588_2:155194-155785(+)"	"Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation. Functions as a peptidyl-prolyl cis-trans isomerase"	"tig"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	"-"	"ko:K03545"	"-"	"-"	"-"	"-"	"ko00000"	"-"	"-"	"-"	"FKBP_C,Trigger_C,Trigger_N"
"CDS::101588_2:157369-158185(+)"	"ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP"	"clpX"	"GO:0000166,GO:0003674,GO:0003824,GO:0004176,GO:0005488,GO:0005524,GO:0006508,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008233,GO:0009056,GO:0009057,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019538,GO:0030163,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042623,GO:0043167,GO:0043168,GO:0043170,GO:0044238,GO:0051301,GO:0070011,GO:0071704,GO:0097159,GO:0097367,GO:0140096,GO:1901265,GO:1901363,GO:1901564,GO:1901565,GO:1901575"	"-"	"ko:K03544"	"ko04112,map04112"	"-"	"-"	"-"	"ko00000,ko00001,ko03110"	"-"	"-"	"-"	"AAA_2,ClpB_D2-small,zf-C4_ClpX"
"CDS::101588_2:160867-162154(+)"	"Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps"	"hemC"	"GO:0003674,GO:0003824,GO:0004418,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016740,GO:0016765,GO:0018130,GO:0019438,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044464,GO:0046148,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"	"2.5.1.61"	"ko:K01749"	"ko00860,ko01100,ko01110,ko01120,map00860,map01100,map01110,map01120"	"M00121"	"R00084"	"RC02317"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"-"	"Porphobil_deam,Porphobil_deamC"
"CDS::101588_2:164608-167239(+)"	"glutamate-1-semialdehyde 2,1-aminomutase activity"	"hemL"	"GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0006725,GO:0006778,GO:0006779,GO:0006782,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016020,GO:0016853,GO:0016866,GO:0016869,GO:0018130,GO:0019438,GO:0033013,GO:0033014,GO:0034641,GO:0040007,GO:0042168,GO:0042286,GO:0042440,GO:0042802,GO:0044237,GO:0044249,GO:0044271,GO:0044464,GO:0046148,GO:0046483,GO:0046501,GO:0051186,GO:0051188,GO:0071704,GO:0071944,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"	"5.4.3.8"	"ko:K01845"	"ko00860,ko01100,ko01110,ko01120,map00860,map01100,map01110,map01120"	"M00121"	"R02272"	"RC00677"	"ko00000,ko00001,ko00002,ko01000,ko01007"	"-"	"-"	"iSB619.SA_RS08395,iUMNK88_1353.UMNK88_158"	"Aminotran_3"
"CDS::101588_2:168784-169492(+)"	"amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner"	"valS"	"GO:0003674,GO:0003824,GO:0004812,GO:0004832,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006438,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576"	"6.1.1.9"	"ko:K01873"	"ko00970,map00970"	"M00359,M00360"	"R03665"	"RC00055,RC00523"	"ko00000,ko00001,ko00002,ko01000,ko01007,ko03016"	"-"	"-"	"-"	"Anticodon_1,Val_tRNA-synt_C,tRNA-synt_1"
"CDS::101588_2:170242-170527(+)"	"Belongs to the folylpolyglutamate synthase family"	"folC"	"-"	"6.3.2.12,6.3.2.17"	"ko:K11754"	"ko00790,ko01100,map00790,map01100"	"M00126,M00841"	"R00942,R02237,R04241"	"RC00064,RC00090,RC00162"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"iSB619.SA_RS08370"	"Mur_ligase_C,Mur_ligase_M"
"CDS::101588_2:171000-171474(+)"	"Belongs to the folylpolyglutamate synthase family"	"folC"	"-"	"6.3.2.12,6.3.2.17"	"ko:K11754"	"ko00790,ko01100,map00790,map01100"	"M00126,M00841"	"R00942,R02237,R04241"	"RC00064,RC00090,RC00162"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"iSB619.SA_RS08370"	"Mur_ligase_C,Mur_ligase_M"
"CDS::101588_2:172706-173237(+)"	"Belongs to the UPF0758 family"	"radC"	"-"	"-"	"ko:K03630"	"-"	"-"	"-"	"-"	"ko00000"	"-"	"-"	"-"	"RadC"
"CDS::101588_2:174037-174358(+)"	"Domain of unknown function (DUF4930)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"DUF4930"
"CDS::101588_2:186072-186591(+)"	"Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA"	"secD"	"GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0008104,GO:0008150,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0033036,GO:0042886,GO:0044425,GO:0044459,GO:0044464,GO:0045184,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0071944"	"-"	"ko:K03072,ko:K12257"	"ko02024,ko03060,ko03070,map02024,map03060,map03070"	"M00335"	"-"	"-"	"ko00000,ko00001,ko00002,ko02044"	"2.A.6.4,3.A.5.2,3.A.5.7"	"-"	"-"	"SecD_SecF,Sec_GG"
"CDS::101588_2:186997-189208(+)"	"single-stranded-DNA-specific exonuclease recJ"	"recJ"	"-"	"-"	"ko:K07462"	"ko03410,ko03430,ko03440,map03410,map03430,map03440"	"-"	"-"	"-"	"ko00000,ko00001,ko01000,ko03400"	"-"	"-"	"-"	"DHH,DHHA1,ssDNA-exonuc_C"
"CDS::101588_2:189219-189672(+)"	"Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis"	"apt"	"GO:0003674,GO:0003824,GO:0003999,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006144,GO:0006168,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009112,GO:0009113,GO:0009987,GO:0016740,GO:0016757,GO:0016763,GO:0018130,GO:0019438,GO:0034641,GO:0034654,GO:0042440,GO:0043094,GO:0043096,GO:0043101,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046083,GO:0046084,GO:0046112,GO:0046148,GO:0046483,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"	"2.4.2.7"	"ko:K00759"	"ko00230,ko01100,map00230,map01100"	"-"	"R00190,R01229,R04378"	"RC00063"	"ko00000,ko00001,ko01000,ko04147"	"-"	"-"	"-"	"Pribosyltran"
"CDS::101588_2:192282-194049(+)"	"rejects L-amino acids rather than detecting D-amino acids in the active site. By recycling D-aminoacyl-tRNA to D-amino acids and free tRNA molecules, this enzyme counteracts the toxicity associated with the formation of D-aminoacyl-tRNA entities in vivo and helps enforce protein L-homochirality"	"dtd"	"GO:0002161,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006399,GO:0006450,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016070,GO:0016787,GO:0016788,GO:0034641,GO:0034660,GO:0043170,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0046483,GO:0051499,GO:0051500,GO:0052689,GO:0065007,GO:0065008,GO:0071704,GO:0090304,GO:0106074,GO:0140098,GO:0140101,GO:1901360"	"-"	"ko:K07560"	"-"	"-"	"-"	"-"	"ko00000,ko01000,ko03016"	"-"	"-"	"-"	"Tyr_Deacylase"
"CDS::101588_2:197929-198943(-)"	"COG2256 ATPase related to the helicase subunit of the Holliday junction resolvase"	"rarA"	"-"	"-"	"ko:K07478"	"-"	"-"	"-"	"-"	"ko00000"	"-"	"-"	"-"	"AAA,AAA_assoc_2,MgsA_C,RuvB_N"
"CDS::101588_2:202872-205350(+)"	"Cysteine desulfurase"	"iscS"	"-"	"2.8.1.7"	"ko:K04487"	"ko00730,ko01100,ko04122,map00730,map01100,map04122"	"-"	"R07460,R11528,R11529"	"RC01789,RC02313"	"ko00000,ko00001,ko01000,ko02048,ko03016,ko03029"	"-"	"-"	"-"	"Aminotran_5"
"CDS::101588_2:205689-208323(+)"	"Tetratricopeptide repeat"	"yrrB"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"TPR_1,TPR_16,TPR_2,TPR_6,TPR_8"
"CDS::101588_2:212529-213153(+)"	"Belongs to the UPF0473 family"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"DUF1292"
"CDS::101588_2:213180-213657(+)"	"O-methyltransferase"	"yrrM"	"-"	"2.1.1.104"	"ko:K00588"	"ko00360,ko00940,ko00941,ko00945,ko01100,ko01110,map00360,map00940,map00941,map00945,map01100,map01110"	"M00039,M00350"	"R01942,R06578"	"RC00003,RC00392"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"-"	"Methyltransf_3"
"CDS::101588_2:214705-215716(+)"	"Peptidase U32 family"	"yrrO"	"-"	"-"	"ko:K08303"	"ko05120,map05120"	"-"	"-"	"-"	"ko00000,ko00001,ko01000,ko01002"	"-"	"-"	"-"	"Peptidase_U32,Peptidase_U32_C"
"CDS::101588_2:216180-217542(+)"	"Cytidine monophosphokinase"	"udk"	"GO:0003674,GO:0003824,GO:0004849,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006206,GO:0006213,GO:0006220,GO:0006221,GO:0006222,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008655,GO:0009058,GO:0009112,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009124,GO:0009129,GO:0009130,GO:0009156,GO:0009161,GO:0009163,GO:0009165,GO:0009173,GO:0009174,GO:0009218,GO:0009220,GO:0009224,GO:0009259,GO:0009260,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018130,GO:0019205,GO:0019206,GO:0019438,GO:0019637,GO:0019693,GO:0034404,GO:0034641,GO:0034654,GO:0042455,GO:0043094,GO:0043097,GO:0043174,GO:0043771,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046035,GO:0046049,GO:0046131,GO:0046132,GO:0046134,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659"	"2.7.1.48"	"ko:K00876"	"ko00240,ko00983,ko01100,map00240,map00983,map01100"	"-"	"R00513,R00516,R00517,R00962,R00964,R00967,R00968,R00970,R01548,R01549,R01880,R02091,R02096,R02097,R02327,R02332,R02371,R02372,R08232"	"RC00002,RC00017"	"ko00000,ko00001,ko01000"	"-"	"-"	"-"	"PRK"
"CDS::101588_2:217541-218294(+)"	"allophanate hydrolase subunit 1"	"kipI"	"-"	"-"	"ko:K06351"	"-"	"-"	"-"	"-"	"ko00000"	"-"	"-"	"-"	"CT_C_D"
"CDS::101588_2:221373-222213(+)"	"Belongs to the UPF0271 (lamB) family"	"-"	"-"	"-"	"ko:K07160"	"-"	"-"	"-"	"-"	"ko00000"	"-"	"-"	"-"	"LamB_YcsF"
"CDS::101588_2:224232-225333(+)"	"Fic/DOC family"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Fic"
"CDS::101588_2:227949-228666(+)"	"GTPase YqeH"	"yqeH"	"GO:0003674,GO:0003824,GO:0003924,GO:0006275,GO:0008150,GO:0008156,GO:0009889,GO:0009890,GO:0009892,GO:0010556,GO:0010558,GO:0010605,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017111,GO:0019219,GO:0019222,GO:0022613,GO:0030174,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032297,GO:0042254,GO:0044085,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051052,GO:0051053,GO:0051171,GO:0051172,GO:0060255,GO:0065007,GO:0071840,GO:0080090,GO:0090329,GO:2000104,GO:2000112,GO:2000113"	"-"	"ko:K06948"	"-"	"-"	"-"	"-"	"ko00000,ko03009"	"-"	"-"	"-"	"MMR_HSR1"
