# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "CDS,sRNA,tRNA,RNA" "-g" "Name" "-a" "../data/reference_sequences/WG_with_sRNAs_Staphylococcus_aureus_101588.gff3" "-o" "../data/rna_align/counttable.txt" "../data/rna_align/LND_0_rep1.fq.gz.bam" "../data/rna_align/LND_0_rep2.fq.gz.bam" "../data/rna_align/LND_0_rep3.fq.gz.bam" "../data/rna_align/LND_16_rep1.fq.gz.bam" "../data/rna_align/LND_16_rep2.fq.gz.bam" "../data/rna_align/LND_16_rep3.fq.gz.bam" "../data/rna_align/LND_8_rep1.fq.gz.bam" "../data/rna_align/LND_8_rep2.fq.gz.bam" "../data/rna_align/LND_8_rep3.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/LND_0_rep1.fq.gz.bam	../data/rna_align/LND_0_rep2.fq.gz.bam	../data/rna_align/LND_0_rep3.fq.gz.bam	../data/rna_align/LND_16_rep1.fq.gz.bam	../data/rna_align/LND_16_rep2.fq.gz.bam	../data/rna_align/LND_16_rep3.fq.gz.bam	../data/rna_align/LND_8_rep1.fq.gz.bam	../data/rna_align/LND_8_rep2.fq.gz.bam	../data/rna_align/LND_8_rep3.fq.gz.bam
FIG01108520: hypothetical protein	101588_3	283160	283294	-	135	1	1	1	2	2	5	6	0	2
Pyruvate decarboxylase%3B Alpha-keto-acid%0Adecarboxylase	101588_3	283425	285065	+	1641	15158	14262	14098	5590	4694	3937	6731	5130	4832
Uncharacterized isochorismatase family protein%0AYwoC	101588_3	285132	285689	+	558	4709	4980	4960	2579	2081	930	3114	2156	2218
TetR family regulatory protein of MDR cluster	101588_3;101588_6	287436;16333	288050;16887	-;-	1170	1648	1504	1445	615	480	478	711	536	591
N-acetyl-gamma-glutamyl-phosphate reductase	101588_3	290779	291813	+	1035	43	56	56	86	64	96	92	64	74
Glutamate N-acetyltransferase @ N-acetylglutamate%0Asynthase	101588_3	291825	293066	+	1242	64	87	78	96	77	197	145	86	111
N-acetylglutamate kinase	101588_3	293082	293852	+	771	49	43	30	95	87	112	120	103	101
4'-phosphopantetheinyl transferase	101588_3	294944	295588	-	645	1521	1740	1880	3887	3422	4314	4357	3430	3876
Polyketide synthase modules and related proteins%0ACDS	101588_3	295601	302776	-	7176	14840	14662	15704	35616	32521	44686	40992	32138	35001
NAD-dependent formate dehydrogenase	101588_3	304858	305883	-	1026	93	97	105	94	84	76	115	85	88
Butyryl-CoA dehydrogenase	101588_3	306632	307666	-	1035	120	109	112	157	156	126	147	181	137
ABC transporter%2C permease protein (cluster 10%2C%0Anitrate/sulfonate/bicarbonate)	101588_3	307676	308437	-	762	39	57	51	27	33	17	34	32	9
Cobalt-zinc-cadmium resistance protein	101588_3;101588_5	311461;48986	312420;49852	-;-	1827	537	718	579	513	492	292	584	515	457
Aldehyde dehydrogenase B	101588_3	313066	314553	-	1488	14033	18223	15041	7473	6593	5317	8946	6966	6687
Inner membrane protein YbaN	101588_3	314980	315363	+	384	114	92	92	84	49	47	100	78	66
UDP-N-acetylglucosamine 2-epimerase	101588_3;101588_8	315760;50333	316905;51460	-;+	2274	23709	25977	27207	21243	17883	17975	24533	18052	18396
UDP-N-acetyl-D-mannosamine dehydrogenase	101588_3	316982	318244	-	1263	15060	14947	16514	11868	9452	8520	14093	9906	10219
Capsular polysaccharide synthesis enzyme Cap8N%0ACDS	101588_3	318298	319185	-	888	8995	8802	9766	7825	6217	5237	8648	6306	6840
Capsular polysaccharide synthesis enzyme Cap8M%0ACDS	101588_3	319185	319742	-	558	3089	3369	3857	3295	2456	2310	3626	2547	2908
Capsular polysaccharide synthesis enzyme Cap5L%0ACDS	101588_3	319753	320958	-	1206	10232	9286	10419	8634	6772	6377	9553	6942	7494
Capsular polysaccharide synthesis enzyme Cap5K%0ACDS	101588_3	320959	322164	-	1206	8624	6768	7097	5924	4823	4365	6498	5458	4817
Capsular polysaccharide synthesis enzyme Cap5J%0ACDS	101588_3	322157	323323	-	1167	10908	10382	11471	9539	7224	6506	10307	7477	8032
Capsular polysaccharide synthesis enzyme Cap5I%0ACDS	101588_3	323337	324446	-	1110	9409	8693	9325	7461	5550	5312	8073	5970	6144
Capsular polysaccharide synthesis enzyme Cap5H%3B%0AO-acetyl transferase	101588_3	324451	325077	-	627	4997	4178	4416	3435	2672	2673	3713	2778	2851
UDP-N-acetyl-L-fucosamine synthase	101588_3	325080	326204	-	1125	11755	11726	13097	9222	7116	9054	9954	7347	7890
Capsular polysaccharide synthesis enzyme Cap5F%0ACDS	101588_3	326208	327317	-	1110	7595	7938	8780	6398	4847	6326	6814	4865	5506
Capsular polysaccharide synthesis enzyme Cap8E%0ACDS	101588_3	327330	328358	-	1029	7989	8064	9006	7177	5388	7216	7490	5400	6330
Probable polysaccharide biosynthesis protein EpsC%0ACDS	101588_3	328348	330171	-	1824	12380	11810	13088	9723	7095	8644	10497	7950	8948
Capsular polysaccharide synthesis enzyme Cap5C%3B%0AManganese-dependent protein-tyrosine phosphatase	101588_3	330191	330955	-	765	7979	7504	8627	5277	4187	3496	6066	4401	5077
Tyrosine-protein kinase EpsD / Capsular%0Apolysaccharide synthesis enzyme Cap5B	101588_3	330958	331644	-	687	7417	6358	6779	4749	4053	3038	5379	3997	4323
Capsular polysaccharide synthesis enzyme Cap5A /%0ATyrosine-protein kinase transmembrane modulator EpsC	101588_3	331660	332328	-	669	7840	6910	7646	6457	5112	3677	6988	5257	5728
Acetaldehyde dehydrogenase / Alcohol dehydrogenase%0ACDS	101588_3	332672	335281	-	2610	343	348	402	359	348	544	524	336	390
Zn peptidase with DNA binding	101588_3	335668	336843	-	1176	1746	2293	1994	1703	1632	1347	2337	1652	1571
ABC transporter%2C substrate-binding protein%0A(cluster 12%2C methionine/phosphonates)	101588_3	341132	342088	+	957	99	177	174	136	139	107	201	148	140
ABC transporter%2C ATP-binding protein (cluster 12%2C%0Amethionine/phosphonates)	101588_3	342302	343075	+	774	69	57	53	53	69	71	101	67	60
ABC transporter%2C permease protein (cluster 12%2C%0Amethionine/phosphonates)	101588_3;101588_3	343077;343874	343877;344689	+;+	1613	150	174	141	218	161	288	210	164	128
Phosphopentomutase	101588_3	344820	345998	-	1179	1718	2188	2076	2342	1884	2381	2866	1868	2060
Deoxyribose-phosphate aldolase	101588_3;101588_8	346026;24116	346688;24778	-;+	1326	3090	3195	2941	1809	1728	1438	2168	1767	1593
Tetracycline resistance%2C MFS efflux pump %3D>%0ATet(38)	101588_3	346769	348127	-	1359	375	692	652	882	976	1070	1966	821	881
Purine nucleoside phosphorylase	101588_3;101588_8	348128;23092	348835;23802	-;-	1419	5796	6211	5192	1983	2016	1636	3572	2173	2069
Predicted regulator for deoxynucleoside%0Autilization%2C GntR family	101588_3	349086	349826	+	741	778	904	914	496	473	518	748	545	494
Predicted cell-wall-anchored protein SasD (LPXAG%0Amotif)	101588_3	350017	350742	-	726	3874	5547	5222	1557	1407	1384	2952	1505	1436
Membrane protein involved in the export of%0AO-antigen%2C teichoic acid lipoteichoic acids	101588_3	351978	353408	-	1431	342	311	292	279	286	242	382	295	278
Exopolysaccharide biosynthesis glycosyltransferase%0AEpsF	101588_3	354617	355783	-	1167	60	57	64	58	36	45	81	48	45
Putative undecaprenyl-phosphate%0AN-acetylgalactosaminyl 1-phosphate transferase%3B%0ATeichuronic acid biosynthesis glycosyltransferase TuaA%0ACDS	101588_3	355993	356682	-	690	11	24	24	9	15	16	18	13	13
UDP-glucose 4-epimerase	101588_3	356645	357616	-	972	18	35	41	24	31	32	57	19	33
2%2C3-butanediol dehydrogenase%2C S-alcohol forming%2C%0A(R)-acetoin-specific / Acetoin (diacetyl) reductase	101588_3	357960	358736	-	777	847	1379	1292	797	671	383	1044	667	725
FIG01107877: hypothetical protein	101588_3	359624	360052	-	429	252	316	284	261	258	182	324	268	222
Siderophore staphylobactin biosynthesis protein%0ASbnI	101588_3	360248	361012	-	765	60	89	78	87	92	93	89	76	93
Siderophore staphylobactin biosynthesis protein%0ASbnH	101588_3	361016	362218	-	1203	67	73	89	82	94	111	121	83	79
Siderophore staphylobactin biosynthesis protein%0ASbnG	101588_3	362218	362994	-	777	35	63	59	60	59	94	78	61	51
Siderophore staphylobactin biosynthesis protein%0ASbnF @ Siderophore synthetase superfamily%2C group C	101588_3	362969	364747	-	1779	73	98	112	79	71	123	108	67	56
Siderophore staphylobactin biosynthesis protein%0ASbnE @ Siderophore synthetase superfamily%2C group A	101588_3	364728	366464	-	1737	54	33	49	64	57	74	52	40	53
Siderophore staphylobactin biosynthesis protein%0ASbnD	101588_3	366454	367710	-	1257	30	48	34	45	33	43	44	21	35
Siderophore staphylobactin biosynthesis protein%0ASbnC @ Siderophore synthetase superfamily%2C group B	101588_3	367703	369457	-	1755	68	51	57	63	34	59	38	40	60
Siderophore staphylobactin biosynthesis protein%0ASbnB%2C cyclodeaminase	101588_3	369478	370488	-	1011	29	32	42	28	14	28	27	16	23
Siderophore staphylobactin biosynthesis protein%0ASbnA	101588_3	370485	371465	-	981	38	47	57	23	10	16	39	10	25
Siderophore staphylobactin ABC transporter%2C%0Asubstrate-binding protein SirA	101588_3	371696	372688	+	993	817	880	802	181	197	98	314	214	217
Siderophore staphylobactin ABC transporter%2C%0Apermease protein SirB	101588_3	372704	373699	+	996	154	153	104	66	54	77	75	71	55
Siderophore staphylobactin ABC transporter%2C%0Apermease protein SirC	101588_3	373696	374694	+	999	2621	3169	3020	5680	4943	6637	6545	4777	4977
staphylococcal accessory regulator A homologue%0ACDS	101588_3	375063	375815	+	753	1277	2228	1416	880	1384	593	1076	1410	943
Protein A%2C von Willebrand factor binding protein%0ASpa	101588_3	376236	377690	+	1455	3652	23366	5061	1605	8807	3388	1889	9800	1962
L-lactate permease	101588_3;101588_6	378019;2161	379611;3759	-;+	3192	8655	8490	7918	6432	5950	4335	7991	6548	5878
Oleate hydratase	101588_3;101588_14;101588_14	380697;11729;12331	382472;12232;12537	+;-;-	2487	27913	25754	21443	8891	8448	10015	13236	10145	8346
Sodium-dependent phosphate transporter	101588_3	382791	384458	+	1668	2455	3712	2586	5428	6034	4458	5756	6011	4496
N-acyl-L-amino acid amidohydrolase	101588_3	386334	387512	-	1179	231	202	190	117	133	136	145	118	136
Transcriptional regulator%2C AraC family	101588_3;101588_5	387663;12286	389900;14391	-;+	4344	2394	2347	2273	1807	1595	1554	2207	1752	1596
Phosphatidylinositol-specific phospholipase C	101588_3	390981	391967	-	987	387	289	481	147	107	58	235	115	164
SAM-dependent methyltransferase	101588_3	392810	393541	-	732	473	534	473	796	609	306	809	672	617
Transcriptional regulator%2C AcrR family	101588_3;101588_3;101588_4;101588_4;101588_4;101588_5;101588_5;101588_17	393772;402632;15053;18810;31591;7091;194413;11026	394326;403207;15640;19367;32178;7714;194961;11598	-;-;+;+;-;+;+;-	4611	12965	13943	12707	10219	8070	3392	11844	8812	8359
Dienelactone hydrolase and related enzymes	101588_3	394505	395419	+	915	2576	2769	2492	1253	1016	732	1496	1073	1066
LysR-family regulatory protein	101588_3	396937	397797	-	861	229	180	190	111	73	90	161	113	89
tRNA-dihydrouridine synthase 2	101588_3	400594	401580	+	987	581	721	731	656	615	428	766	563	605
FIG01108442: hypothetical protein	101588_3	403482	403847	-	366	55	56	44	44	44	37	62	46	44
FIG01108447: hypothetical protein	101588_3	403857	404060	-	204	40	32	20	18	21	10	24	21	17
FIG01108818: hypothetical protein	101588_3	405585	405956	+	372	117	129	120	134	97	69	140	96	102
2-amino-3-carboxymuconate-6-semialdehyde%0Adecarboxylase	101588_3	406009	406980	+	972	2456	2338	2322	1255	1153	899	1484	1130	1108
FIG01234639: hypothetical protein	101588_3	409438	410061	-	624	670	615	592	304	271	103	327	292	257
Copper(I) chaperone CopZ	101588_4;101588_8	84;72580	290;72789	+;+	417	1453	1707	1841	1729	1345	1346	2054	1365	1409
D-specific D-2-hydroxyacid dehydrogenase ddh%0Ahomolog	101588_4	380	1378	-	999	432	467	460	246	200	141	312	207	220
N-succinyldiaminopimelate aminotransferase	101588_4	1401	2555	-	1155	621	542	592	207	166	185	294	176	180
Dehydrosqualene desaturase	101588_4	2982	4490	-	1509	1501	1557	1394	899	785	741	1047	890	783
Dehydrosqualene synthase	101588_4	4502	5365	-	864	645	752	681	484	372	422	488	435	409
4%2C4'-diaponeurosporenoate glycosyltransferase	101588_4	5402	6529	-	1128	1258	1119	1067	633	600	597	816	607	606
Diapolycopene oxygenase	101588_4	6535	8028	-	1494	1396	1314	1275	882	682	752	952	685	630
Glycosyl-4%2C4'-diaponeurosporenoate acyltransferase%0Aprecursor	101588_4	8021	8518	-	498	307	305	277	280	230	148	309	236	193
Acyltransferase	101588_4	9813	11624	-	1812	2359	2648	2421	1719	1692	1085	2019	1744	1601
Immunodominant staphylococcal antigen A precursor%0ACDS	101588_4	12298	12999	-	702	33618	41166	33950	75288	64262	67338	84105	67111	64769
Membrane protein	101588_4;101588_12	13606;34402	14661;35463	-;-	2118	919	953	757	871	724	503	973	784	782
FIG01108446: hypothetical protein	101588_4	14807	15010	+	204	2	10	8	7	16	10	8	12	4
Short-chain dehydrogenase	101588_4	19360	20064	+	705	111	145	130	92	79	71	138	65	58
Predicted hydrolase/acyltransferase	101588_4	21192	22022	+	831	2301	2021	2329	1798	1275	1213	1895	1250	1432
Similar to ferrous iron transporter protein B	101588_4	23159	24499	-	1341	87	100	85	62	61	61	91	59	48
FIG016210: probable monooxygenase	101588_4	24493	25599	-	1107	46	47	31	35	39	50	53	69	44
Repetitive hypothetical protein in ESAT cluster%2C%0ACOG4495	101588_4	25935	26231	-	297	59	98	78	58	49	35	66	81	55
Ribulosamine/erythrulosamine 3-kinase potentially%0Ainvolved in protein deglycation	101588_4	27221	28087	-	867	223	262	255	276	253	128	333	269	223
Dihydroorotate dehydrogenase (quinone)	101588_4	28305	29369	+	1065	1311	1184	1099	683	547	391	808	607	577
Epoxyqueuosine reductase QueH	101588_4	29985	30707	-	723	403	425	399	207	194	92	200	202	209
PhnB protein%3B putative DNA binding%0A3-demethylubiquinone-9 3-methyltransferase domain protein%0ACDS	101588_4	31061	31510	+	450	2704	4277	2807	1331	1410	251	1590	1381	1085
Predicted acyl esterase/dipeptidyl-peptidase	101588_4	32321	34003	+	1683	201	206	201	219	221	368	279	197	178
Aspartate 1-decarboxylase	101588_4	34132	34515	-	384	421	483	505	414	294	172	422	333	381
Pantoate--beta-alanine ligase	101588_4	34517	35368	-	852	1354	1397	1462	1047	877	529	1159	824	924
3-methyl-2-oxobutanoate hydroxymethyltransferase%0ACDS	101588_4	35361	36179	-	819	1533	1414	1441	878	702	556	949	814	812
2-dehydropantoate 2-reductase	101588_4;101588_5	36252;81131	37112;82066	+;-	1797	1014	973	1051	695	519	505	785	576	610
Alpha-acetolactate decarboxylase	101588_4;101588_10	37198;46547	37902;47251	-;-	1410	643	738	788	524	429	249	572	473	465
Uncharacterized amino acid permease%2C GabP family%0ACDS	101588_4	39825	41273	+	1449	311	303	289	319	303	245	392	375	330
Aminotransferase	101588_4	41353	42690	-	1338	44	86	64	65	71	97	142	57	54
Fructose-bisphosphate aldolase class I	101588_4	43483	44373	+	891	8895	10141	10090	3553	2670	1164	4270	2818	2966
Malate:quinone oxidoreductase	101588_4;101588_6	44568;4136	46064;5614	-;+	2976	52172	55623	53391	33181	29466	56673	38789	29225	26988
Acyl-coenzyme A synthetases/AMP-(fatty) acid%0Aligases%2C YtcI homolog	101588_4	46751	48370	-	1620	3333	3339	3610	1639	1250	921	1950	1333	1492
Choline dehydrogenase	101588_4	49756	51465	-	1710	1882	7843	4573	1670	5981	4320	2189	6126	3917
Betaine aldehyde dehydrogenase	101588_4	51726	53216	-	1491	2174	9189	5711	1953	6842	3441	2161	7161	4454
FIG009707: Betaine operon transcriptional%0Aregulator	101588_4	53469	54032	+	564	818	1547	1215	1259	1524	1013	1297	1600	1303
Betaine/carnitine/choline transporter (BCCT)%0Afamily	101588_4	54201	55823	-	1623	1155	3750	2141	2665	7769	4592	3093	7705	4694
FIG01109368: hypothetical protein	101588_4	55955	56116	+	162	8	3	5	6	4	5	7	2	13
Ribonucleotide reductase of class III (anaerobic)%2C%0Aactivating protein	101588_4	56341	56877	-	537	70	80	68	77	65	35	93	59	50
Ribonucleotide reductase of class III (anaerobic)%2C%0Alarge subunit	101588_4	56874	58724	-	1851	267	274	303	218	215	164	323	196	190
Citrate/H+ symporter of CitMHS family	101588_4	58971	60341	-	1371	62	86	95	65	55	51	82	60	58
FIG01108670: hypothetical protein	101588_4	60644	60757	-	114	20	30	39	20	21	25	39	24	20
Precorrin-2 oxidase	101588_4	60830	61438	-	609	270	285	313	200	179	188	214	176	167
Sulfite reductase [NADPH] flavoprotein%0Aalpha-component	101588_4	61504	63384	-	1881	693	761	752	253	216	332	308	213	197
FIG01108408: hypothetical protein	101588_4	64967	65080	-	114	3	2	5	1	2	4	2	0	3
ABC transporter-like sensor and permease protein%0ASAV2622	101588_4	65706	67706	-	2001	688	633	623	488	484	369	587	498	441
ABC transporter-like sensor ATP-binding protein%0ASAV2623	101588_4	67703	68458	-	756	262	241	242	198	173	181	230	167	156
ABC transporter-like sensor linked histidine%0Akinase SAV2624	101588_4	68566	69453	-	888	848	879	817	500	517	386	574	474	406
ABC transporter-like sensor linked response%0Aregulator SAV2625	101588_4	69464	70129	-	666	915	848	784	465	394	247	521	465	371
Alkaline phosphatase	101588_4	70553	71977	+	1425	86	126	83	86	114	96	127	122	98
Doubtful	101588_4;101588_5;101588_5	72037;149614;168303	72141;149817;168473	-;-;-	480	53	63	33	15	19	11	34	21	14
Tributyrin esterase	101588_4	72959	73720	-	762	467	423	483	379	279	201	361	289	293
Clumping factor ClfB%2C fibrinogen binding protein%0ACDS	101588_4	73836	76817	-	2982	2522	4588	3215	6712	6580	7061	6270	5851	4931
Transcriptional regulator ArcR essential for%0Aanaerobic expression of the ADI pathway%2C Crp/Fnr family%0ACDS	101588_4	77167	77871	-	705	43	50	52	124	127	46	169	112	109
Arginine deiminase	101588_4	81492	82727	-	1236	25	20	21	48	23	35	28	34	26
Zinc metalloproteinase aureolysin	101588_4	83892	85421	-	1530	4100	3604	4836	3664	2837	1969	4171	2830	3532
immunodominant antigen B	101588_4	85835	86362	-	528	701	1157	898	588	557	245	622	702	458
Activator of the mannose operon (transcriptional%0Aantiterminator)%2C BglG family	101588_4	87300	89174	+	1875	533	457	551	638	538	966	783	600	577
PTS system%2C mannose-specific IIB component / PTS%0Asystem%2C mannose-specific IIC component / PTS system%2C%0Amannose-specific IIA component	101588_4	89251	91203	+	1953	751	788	760	1019	891	1640	1264	891	896
Mannose-6-phosphate isomerase	101588_4	91217	92155	+	939	215	205	251	278	312	559	403	278	272
Phage infection protein	101588_4;101588_5	92267;5653	95248;6930	-;-	4260	5033	6047	5717	4937	4509	5686	5865	4520	4420
N-acetylmuramoyl-L-alanine amidase%2C family 4	101588_4	95459	97318	+	1860	8131	7644	8554	6978	5581	6276	7958	5845	6506
Isochorismatase	101588_4	97585	98145	-	561	982	993	1072	420	318	136	530	372	370
Predicted cell-wall-anchored protein SasF (LPXAG%0Amotif)	101588_4	98313	100208	-	1896	1456	1919	1976	1463	1408	1140	2149	1247	1280
GftB: Glycosyl transferase%2C family 8	101588_4	100450	101808	-	1359	1514	1566	1500	1445	1302	888	1559	1207	1220
Poly(glycerol-phosphate) alpha-glucosyltransferase%0AGftA	101588_4	101801	103309	-	1509	1464	1614	1528	1939	1676	1204	2134	1780	1627
Protein translocase subunit SecA clustered with%0Aaccessory secretion system	101588_4	103327	105717	-	2391	1663	1946	1730	2657	2326	1479	2873	2286	2233
Accessory secretory protein Asp3	101588_4	105707	106666	-	960	137	169	136	146	151	112	159	119	114
Accessory secretory protein Asp2	101588_4	106644	108215	-	1572	189	271	249	237	236	177	209	214	198
Accessory secretory protein Asp1	101588_4	108202	109755	-	1554	232	255	253	146	142	126	186	176	157
Protein translocase subunit SecY clustered with%0Aaccessory secretion system	101588_4	109766	110977	-	1212	160	187	146	127	89	128	122	110	108
Predicted cell-wall-anchored protein SasA (LPXTG%0Amotif)	101588_4	111106	117945	-	6840	6169	7857	6844	6808	6263	10925	8684	6968	6392
Manganese-dependent protein-tyrosine phosphatase%0ACDS	101588_4	126141	126908	-	768	25	25	33	34	34	31	36	31	35
Tyrosine-protein kinase EpsD	101588_4	126905	127597	-	693	10	17	20	22	30	28	21	22	22
Capsular polysaccharide biosynthesis protein capA%0ACDS	101588_4	127614	128276	-	663	10	9	13	12	24	9	29	13	9
Biofilm operon icaABCD HTH-type negative%0Atranscriptional regulator IcaR	101588_4	129123	129683	-	561	566	511	593	125	102	36	188	124	138
Polysaccharide intercellular adhesin (PIA)%0Abiosynthesis N-glycosyltransferase IcaA	101588_4;101588_17	129847;11759	131085;12991	+;+	2472	98	129	124	170	155	116	162	147	141
Polysaccharide intercellular adhesin (PIA)%0Abiosynthesis protein IcaD	101588_4	131049	131354	+	306	2	4	3	2	1	8	7	4	3
Polysaccharide intercellular adhesin (PIA)%0Abiosynthesis deacetylase IcaB	101588_4;101588_17	131351;13259	132223;14125	+;+	1740	152	165	156	161	169	128	236	149	172
Polysaccharide intercellular adhesin (PIA)%0Abiosynthesis protein IcaC	101588_4;101588_17	132210;14118	133262;15158	+;+	2094	712	658	568	680	596	290	701	638	525
Triacylglycerol lipase	101588_4	133710	135755	-	2046	103027	91383	124092	117568	84799	182412	126216	82716	102487
FIG01108155: hypothetical protein	101588_4	136472	136651	-	180	9	10	5	17	18	10	8	18	9
Phosphoribosyl-AMP cyclohydrolase /%0APhosphoribosyl-ATP pyrophosphatase	101588_4	136843	137475	-	633	66	76	83	93	128	98	138	109	109
Imidazole glycerol phosphate synthase cyclase%0Asubunit	101588_4	137472	138230	-	759	48	52	55	89	66	80	86	59	67
Phosphoribosylformimino-5-aminoimidazole%0Acarboxamide ribotide isomerase	101588_4	138227	138931	-	705	37	29	59	36	32	49	47	34	45
Imidazole glycerol phosphate synthase%0Aamidotransferase subunit HisH	101588_4	138924	139502	-	579	16	29	30	28	19	22	16	23	26
Imidazoleglycerol-phosphate dehydratase	101588_4	139499	140077	-	579	33	20	27	12	18	30	13	16	17
Histidinol-phosphate aminotransferase	101588_4	140046	141059	-	1014	48	33	47	35	28	53	49	33	42
Histidinol dehydrogenase	101588_4	141075	142325	-	1251	34	51	50	44	30	75	75	32	42
ATP phosphoribosyltransferase %3D> HisGs	101588_4	142318	142932	-	615	12	13	26	11	15	30	24	12	12
ATP phosphoribosyltransferase regulatory subunit%0ACDS	101588_4	142950	143768	-	819	21	52	64	20	39	32	74	37	53
Lactonase Drp35	101588_4	146271	147245	-	975	906	1055	961	306	281	199	401	339	268
Rhodanese domain protein UPF0176%2C Firmicutes%0Asubgroup	101588_4	147490	148446	+	957	211	263	217	199	150	112	252	161	222
Pyrrolidone-carboxylate peptidase	101588_4	148600	149238	+	639	518	461	529	372	332	366	437	327	354
Transcriptional regulator%2C PadR family	101588_4	150114	150452	-	339	150	210	195	198	187	127	254	170	175
Collagen binding protein Cna	101588_4	151244	154234	-	2991	2067	3772	2213	2498	3490	3571	2943	3498	2277
2-oxoglutarate/malate translocator-like protein%0ACDS	101588_4	154612	156030	+	1419	1214	1147	988	732	608	646	805	653	579
Uncharacterized inner membrane protein RarD	101588_4	156580	157488	-	909	252	259	230	155	141	90	172	156	164
HoxN/HupN/NixA family nickel/cobalt transporter%0ACDS	101588_4	158444	159460	+	1017	163	194	165	143	145	128	217	132	147
N-hydroxyarylamine O-acetyltransferase	101588_4	159700	160500	+	801	1191	1264	1361	284	285	307	376	286	287
ABC transporter-like sensor and permease protein%0ACDS	101588_4	162353	164233	+	1881	257	194	257	269	238	229	315	290	228
Chromosome (plasmid) partitioning protein ParB-2%0ACDS	101588_4	167188	168027	-	840	1196	1581	1605	3124	2946	2762	3368	2902	3014
16S rRNA (guanine(527)-N(7))-methyltransferase%0ACDS	101588_4	168070	168789	-	720	585	662	550	1543	1681	1515	1811	1772	1479
tRNA-5-carboxymethylaminomethyl-2- thiouridine(34)%0Asynthesis protein MnmG	101588_4	168789	170666	-	1878	1763	2079	1854	5620	5510	4946	5931	5666	4878
tRNA-5-carboxymethylaminomethyl-2- thiouridine(34)%0Asynthesis protein MnmE	101588_4	170733	172112	-	1380	788	924	790	2918	2826	2711	3107	2765	2363
Ribonuclease P protein component	101588_4	172256	172603	-	348	174	224	199	827	766	698	850	729	737
LSU ribosomal protein L34p	101588_4	172730	172867	-	138	1955	3406	2658	8469	8876	6576	8931	7917	6881
Chromosomal replication initiator protein DnaA%0ACDS	101588_4	173598	174959	+	1362	6017	5972	5811	2900	3055	3266	4374	3206	3121
DNA polymerase III beta subunit	101588_4	175237	176370	+	1134	6366	6870	6608	2940	2640	2022	3721	2860	2652
Uncharacterized S4 RNA-binding-domain protein YbcJ%0ACDS	101588_4	176760	176996	+	237	1094	1560	1424	605	589	388	929	727	622
DNA recombination and repair protein RecF	101588_4	176993	178105	+	1113	2676	3195	2874	1461	1417	880	2115	1528	1294
DNA gyrase subunit B	101588_4	178115	180049	+	1935	5117	6346	5611	3311	3220	2069	4749	3325	2986
DNA gyrase subunit A	101588_4	180086	182755	+	2670	6929	7298	6388	2721	2493	1447	3658	2706	2415
ADP-dependent (S)-NAD(P)H-hydrate dehydratase	101588_4	182840	183652	-	813	289	306	290	785	783	343	816	748	643
Histidine ammonia-lyase	101588_4	183978	185492	+	1515	1823	1798	1844	2042	1622	1161	2213	1601	1664
Seryl-tRNA synthetase	101588_4	185870	187156	+	1287	2631	2826	2797	1121	1120	380	1219	1056	949
Branched-chain amino acid permease	101588_4	187803	188498	+	696	460	354	338	205	159	180	242	204	198
Homoserine O-acetyltransferase	101588_4	189187	190155	+	969	199	201	232	188	224	173	268	197	204
FIG003573: hypothetical protein	101588_4	190463	191386	+	924	1825	1748	1618	1326	1176	808	1598	1301	1125
Cyclic-di-AMP phosphodiesterase GdpP	101588_4	191401	193368	+	1968	5820	6163	6387	6846	6370	4946	7720	5894	5553
LSU ribosomal protein L9p	101588_4	193365	193811	+	447	1876	2201	2276	2213	2014	1402	2427	1904	1793
Replicative DNA helicase (DnaB)	101588_4	193843	195243	+	1401	2687	3167	2865	3445	2970	2809	3746	2761	2868
Adenylosuccinate synthetase	101588_4	195522	196805	+	1284	521	596	512	1242	1104	639	1379	1043	950
tRNA-Glu-TTC	101588_4;101588_12;101588_31	197235;3150;124	197309;3221;195	+;-;+	219	41	66	45	59	73	117	117	106	74
tRNA-Asp-GTC	101588_4;101588_12;101588_12;101588_12	197317;3579;36977;37281	197389;3654;37052;37356	+;-;-;-	301	788	1483	1240	2224	2355	3601	2643	2417	1926
Two-component response regulator SA14-24	101588_4	198123	198830	+	708	1383	1501	1431	1221	973	769	1326	972	931
Two-component sensor kinase SA14-24	101588_4	198843	200669	+	1827	4367	4635	4380	4349	3676	3562	4783	3613	3483
Two-component system YycFG regulatory protein YycH%0ACDS	101588_4	200662	201996	+	1335	2975	2869	2770	3286	2699	2741	3609	2801	2677
Two-component system YycFG regulatory protein YycI%0ACDS	101588_4	201997	202785	+	789	1663	1940	1911	2384	2102	1814	2552	1920	1973
Zn-dependent hydrolase YycJ/WalJ%2C required for%0Acell wall metabolism and coordination of cell division%0Awith DNA replication	101588_4	203182	203973	+	792	426	479	427	271	234	127	390	245	263
Virulence-associated cell-wall-anchored protein%0ASasH (LPXTG motif)%3B 5'-nucleotidase	101588_4	204200	206521	+	2322	3275	3939	4140	849	739	619	1026	751	927
FIG01107958: hypothetical protein	101588_4	206751	206888	-	138	15	30	18	6	6	7	3	9	6
23S rRNA%0A(pseudouridine(1915)-N(3))-methyltransferase	101588_4	206887	207366	+	480	517	707	646	218	194	86	340	249	238
